CUSTOMER,SERIES_NAME,SKUNO,SN,STATION,FAILURE_SYMPTOM,LOCATION,FAIL_TIME,CHECKIN_TIME,ERROR_CODE,ROOT_CAUSE_DESC,ACTIONDESC,REPAIR_TIME,REPARIR_REWORK_COUNT
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0019,BFT,PORT LINK DOWN,R124,16/09/2024 22:26,17/09/2024 8:35,E206,Defect Component,Replace component,17/09/2024 13:15,1
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ2324AV0056,RIT,Port Bad,.,25/08/2024 3:34,20/09/2024 2:27,E891,NTF,Send out to repair,20/09/2024 2:31,3
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3324AV0163,BFT,USBTEST,J10,10/09/2024 10:41,11/09/2024 14:00,E206,Defect Component,Replace component,11/09/2024 14:10,1
JUNIPER,JNP-SYSTEM-ODM,650-155744,FY2924AV0083,BFT,Wrong Firmware version,U10,10/09/2024 19:36,11/09/2024 8:25,E304,Open Solder,Resolder,11/09/2024 10:14,1
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3324AV0069,BFT,linespeed test fail,D137,07/09/2024 10:18,07/09/2024 11:08,E205,Damaged Component,Resolder,07/09/2024 14:06,1
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3224AV0144,FINALTEST,no console,U6,13/09/2024 15:22,16/09/2024 13:35,E803,Programmable part content error,Reprogram,16/09/2024 13:36,1
JUNIPER,JNP-SYSTEM-ODM,650-155746,FY2924AV0041,BFT,風速錯誤,R27,05/09/2024 20:17,07/09/2024 9:52,E204,Missing Component,Resolder,07/09/2024 9:53,2
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0037,BFT,風速錯誤,R31,17/09/2024 10:21,17/09/2024 13:37,E304,Open Solder,Resolder,17/09/2024 16:14,3
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0037,BFT,風速錯誤,U85,18/09/2024 11:10,19/09/2024 8:49,E206,Defect Component,Replace component,21/09/2024 9:30,3
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0046,BFT,風速錯誤,J1,16/09/2024 8:17,16/09/2024 10:42,E902,Assembly Gap,Reassemble,16/09/2024 13:40,1
JUNIPER,JUNIPER-PCBA,711-028402,EBBH5201,ICT,3,U88,29/08/2024 13:36,31/08/2024 9:35,E803,Programmable part content error,Reprogram,06/09/2024 16:24,1
JUNIPER,JUNIPER-PCBA,750-087559,EAAH3916,SCBTEST,Board Online (CMWRRAP/DBG),U106,20/08/2024 4:45,20/08/2024 8:26,E206,Defect Component,ActionCode SN FJZ,13/09/2024 8:10,3
JUNIPER,JUNIPER-PCBA,750-123768,EABA6162,SLT,Board Online (CMWRRAP/DBG),/,18/09/2024 2:52,18/09/2024 8:59,E218,NTF,NTF,18/09/2024 8:59,1
JUNIPER,JUNIPER-PCBA,750-123768,EABA8118,BFT1,Board Online (CMWRRAP/DBG),U117,30/08/2024 11:13,09/09/2024 9:34,E206,Defect Component,ActionCode SN FJZ,09/09/2024 9:36,3
JUNIPER,JUNIPER-PCBA,750-123768,EABC0145,BFT1,Board Online (CMWRRAP/DBG),U67,31/08/2024 10:11,13/09/2024 17:26,E206,Defect Component,ActionCode SN FJZ,16/09/2024 13:42,3
JUNIPER,JUNIPER-PCBA,750-055087,EBBG9682,RE_FCT2,Board Online (CMWRRAP/DBG),J4401,31/08/2024 2:26,31/08/2024 2:35,E206,Defect Component,ActionCode SN FJZ,01/09/2024 2:33,1
JUNIPER,JUNIPER-PCBA,750-055087,EBBJ2534,RE_FCT,Board Online (CMWRRAP/DBG),U1,19/09/2024 15:02,20/09/2024 15:34,E206,Defect Component,ActionCode SN FJZ,20/09/2024 15:39,1
JUNIPER,JUNIPER-PCBA,750-033307,EBBJ6266,PICTEST,Board Online (CMWRRAP/DBG),U5,19/09/2024 22:51,24/09/2024 13:42,E206,Defect Component,ActionCode SN FJZ,24/09/2024 13:44,1
JUNIPER,JUNIPER-PCBA,750-065926,EAAK9594,SI_V2,Board not online (No test log),U40050,14/09/2024 15:34,23/09/2024 13:55,E205,Damaged Component,ActionCode SN FJZ,23/09/2024 13:58,2
JUNIPER,JUNIPER-PCBA,750-063180,EAAR2109,FPCTEST,Board not online (No test log),U70017,17/09/2024 15:55,17/09/2024 15:55,E206,Defect Component,ActionCode SN FJZ,17/09/2024 16:19,1
JUNIPER,JUNIPER-PCBA,750-123768,EABA4096,FQC,Board not online (No test log),/,27/08/2024 16:51,23/09/2024 15:40,E218,NTF,NTF,23/09/2024 15:43,5
JUNIPER,JUNIPER-PCBA,750-033307,EBBF8431,RIT,Board not online (No test log),U401,10/08/2024 3:54,04/09/2024 13:43,E206,Defect Component,ActionCode SN FJZ,04/09/2024 13:45,4
JUNIPER,JUNIPER-PCBA,750-055087,EBBG9778,RE_FCT,Board not online (No test log),U6001,12/08/2024 9:42,12/08/2024 10:52,E305,Solder Bridge,Resolder,19/09/2024 16:11,2
JUNIPER,JUNIPER-PCBA,750-055087,EBBH4621,RIT,Board not online (No test log),U3015,05/09/2024 20:52,06/09/2024 15:44,E305,Solder Bridge,Resolder,08/09/2024 15:03,1
JUNIPER,JUNIPER-PCBA,750-055087,EBBH4643,RE_FCT,Board not online (No test log),DISK2,30/08/2024 11:14,05/09/2024 9:04,E218,NTF,Reassemble,05/09/2024 9:06,2
JUNIPER,JUNIPER-PCBA,750-087559,EBBG6968,SCBTEST,CB BITS Clock LED test failed,U4,05/09/2024 9:41,06/09/2024 9:46,E206,Defect Component,Replace component,06/09/2024 10:47,1
JUNIPER,JUNIPER-PCBA,611-155734,A13524AV0185,VI,Co-planarity,CJ1,11/09/2024 18:09,12/09/2024 8:33,E213,Component Height / Tilted,Resolder,12/09/2024 10:35,1
JUNIPER,JUNIPER-PCBA,711-148013,EBBJ5038,SMT2,Co-planarity,U12003,11/09/2024 19:18,13/09/2024 14:03,E213,Component Height / Tilted,Resolder,13/09/2024 14:04,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ5207,VI,Co-planarity,D34401,19/09/2024 15:34,20/09/2024 2:20,E210,Co-planarity,Resolder,20/09/2024 2:21,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ5254,SMT2,Co-planarity,J34001,13/09/2024 13:12,18/09/2024 9:27,E213,Component Height / Tilted,Resolder,18/09/2024 14:19,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ5256,SMT2,Co-planarity,J34201,13/09/2024 13:14,18/09/2024 9:23,E213,Component Height / Tilted,Resolder,18/09/2024 14:20,1
JUNIPER,JUNIPER-PCBA,711-148013,EBBJ7148,SMT2,Co-planarity,J37,17/09/2024 10:30,17/09/2024 11:10,E201,Misalignment Component,Correct Misalignment/Tilted Component,17/09/2024 14:28,1
JUNIPER,JUNIPER-PCBA,711-148013,EBBJ7183,SMT2,Co-planarity,J1101,17/09/2024 7:17,17/09/2024 15:07,E210,Co-planarity,Resolder,17/09/2024 20:56,1
JUNIPER,JUNIPER-PCBA,711-148013,EBBJ7193,SMT2,Co-planarity,J1001,17/09/2024 13:12,17/09/2024 15:07,E210,Co-planarity,Resolder,17/09/2024 20:57,1
JUNIPER,JUNIPER-PCBA,711-148013,EBBJ7220,SMT2,Co-planarity,J1001,17/09/2024 10:28,17/09/2024 11:11,E201,Misalignment Component,Correct Misalignment/Tilted Component,17/09/2024 14:30,1
JUNIPER,JUNIPER-PCBA,711-072924,EBBJ8158,VI,Co-planarity,J2505,23/09/2024 20:54,23/09/2024 21:14,E210,Co-planarity,Resolder,23/09/2024 21:14,1
JUNIPER,JUNIPER-PCBA,711-073308,EBBJ8537,SMT2,Co-planarity,J2401,21/09/2024 9:53,25/09/2024 3:57,E210,Co-planarity,Resolder,25/09/2024 3:57,1
JUNIPER,JUNIPER-PCBA,611-155736,FY3624AV0037,SMT2,Co-planarity,CN72,06/09/2024 3:12,06/09/2024 15:29,E213,Component Height / Tilted,Resolder,18/09/2024 10:11,1
JUNIPER,JUNIPER-PCBA,611-155736,FY3624AV0043,SMT2,Co-planarity,CN59,06/09/2024 3:19,06/09/2024 15:41,E304,Open Solder,Resolder,14/09/2024 16:38,1
JUNIPER,JUNIPER-PCBA,611-155735,FZ3524AV0040,SMT2,Co-planarity,CN62,01/09/2024 15:52,05/09/2024 10:45,E201,Misalignment Component,Resolder,05/09/2024 10:46,1
JUNIPER,JUNIPER-PCBA,711-144276,EABB9991,5DX,Colder Solder,J13,23/06/2024 13:59,24/06/2024 10:40,E304,Open Solder,Resolder,07/09/2024 16:19,1
JUNIPER,JUNIPER-PCBA,711-148013,EBBJ5040,SMT2,Component Height/Tilted,J1101,11/09/2024 19:24,17/09/2024 15:07,E213,Component Height / Tilted,Resolder,18/09/2024 14:46,1
JUNIPER,JUNIPER-PCBA,711-073308,EBBJ8510,SMT2,Component Height/Tilted,J2301,21/09/2024 9:40,25/09/2024 3:58,E213,Component Height / Tilted,Resolder,25/09/2024 3:58,1
JUNIPER,JUNIPER-PCBA,711-152589,EBBK1016,SMT2,Component Height/Tilted,U1,22/09/2024 9:12,23/09/2024 16:42,E304,Open Solder,Resolder,23/09/2024 17:20,1
JUNIPER,JUNIPER-PCBA,611-155735,FZ3524AV0035,SMT2,Component Height/Tilted,CN65,01/09/2024 15:53,05/09/2024 10:45,E201,Misalignment Component,Resolder,05/09/2024 10:46,2
JUNIPER,JUNIPER-PCBA,611-155735,FZ3524AV0040,SMT2,Component Height/Tilted,DDLED23,01/09/2024 15:52,05/09/2024 10:45,E201,Misalignment Component,Resolder,05/09/2024 10:47,1
JUNIPER,JUNIPER-PCBA,711-073308,EAAT2998,5DX,Component Mounting on side,J2201,01/06/2024 15:34,20/06/2024 14:14,E304,Open Solder,Resolder,19/09/2024 17:11,1
JUNIPER,JUNIPER-PCBA,711-063179,EBBJ4909,SMT2,Component Mounting on side,U100018,10/09/2024 7:30,10/09/2024 14:09,E213,Component Height / Tilted,Resolder,10/09/2024 14:12,1
JUNIPER,JUNIPER-PCBA,711-054756,EAAN1047,5DX,Damaged component,U1,06/08/2024 15:00,13/09/2024 16:17,E304,Open Solder,Resolder,13/09/2024 16:17,2
JUNIPER,JUNIPER-PCBA,711-087558,EBBJ7632,SMT2,Damaged component,U22,19/09/2024 2:47,19/09/2024 4:23,E304,Open Solder,Resolder,19/09/2024 4:25,1
JUNIPER,JUNIPER-PCBA,711-087558,EBBJ7718,SMT2,Damaged component,U63,19/09/2024 2:57,19/09/2024 4:23,E304,Open Solder,Resolder,19/09/2024 4:25,1
JUNIPER,JUNIPER-PCBA,711-098840,EAAH5037,ICT,Defect Component,R40538,26/08/2024 17:57,27/08/2024 17:22,E304,Open Solder,Resolder,10/09/2024 8:54,5
JUNIPER,JUNIPER-PCBA,711-045719,EAAP8097,ICT,Defect Component,C29,20/09/2024 14:47,20/09/2024 21:27,E204,Missing Component,Resolder,20/09/2024 21:32,1
JUNIPER,JUNIPER-PCBA,711-144276,EAAR3884,ICT,Defect Component,R70162,18/08/2024 14:09,24/09/2024 5:04,E204,Missing Component,Resolder,24/09/2024 5:05,2
JUNIPER,JUNIPER-PCBA,711-054743,EAAS1764,ICT,Defect Component,R1700,28/08/2024 22:53,07/09/2024 13:43,E304,Open Solder,Resolder,07/09/2024 13:44,3
JUNIPER,JUNIPER-PCBA,711-098840,EBBH8767,ICT,Defect Component,L34802,14/09/2024 10:26,14/09/2024 10:58,E205,Damaged Component,Replace component,14/09/2024 10:59,2
JUNIPER,JUNIPER-PCBA,711-070865,EBBH9776,ICT,Defect Component,R17802,17/09/2024 4:26,17/09/2024 5:38,E305,Solder Bridge,Resolder,17/09/2024 5:38,1
JUNIPER,JUNIPER-PCBA,711-070865,EBBJ1112,ICT,Defect Component,R4224,20/09/2024 1:16,20/09/2024 4:01,E209,Extra Component,Resolder,20/09/2024 4:02,4
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ4075,ICT,Defect Component,Y50000,15/09/2024 14:06,16/09/2024 10:16,E206,Defect Component,Replace component,17/09/2024 3:15,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ4130,ICT,Defect Component,R65188,14/09/2024 5:32,14/09/2024 8:47,E202,Wrong Component,Replace component,14/09/2024 8:48,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ4242,ICT,Defect Component,C40026,15/09/2024 14:05,15/09/2024 20:52,E304,Open Solder,Resolder,15/09/2024 20:53,1
JUNIPER,JUNIPER-PCBA,611-133600,FJ3524AV0514,ICT,Defect Component,C819,16/09/2024 5:56,16/09/2024 10:15,E202,Wrong Component,Replace component,16/09/2024 16:34,1
JUNIPER,JUNIPER-PCBA,750-055087,EBBJ2513,RE_FCT,Diagnostic command mem -all failed,E1011,14/09/2024 21:24,16/09/2024 9:01,E206,Defect Component,Replace component,16/09/2024 14:04,1
JUNIPER,JUNIPER-PCBA,750-055087,EBBA6951,RE_FCT2,Diagnostic diagtest -a -c failed,U6010,10/09/2024 1:06,10/09/2024 7:47,E206,Defect Component,Replace component,11/09/2024 11:27,4
JUNIPER,JUNIPER-PCBA,711-073308,EAAT3078,5DX,Extra component,U9003,01/06/2024 15:34,20/06/2024 14:13,E304,Open Solder,Resolder,19/09/2024 17:14,1
JUNIPER,JUNIPER-PCBA,750-063180,EAAR1952,FPCTEST,FRU temperature sensor not found,HSK,29/08/2024 3:10,13/09/2024 10:41,E121,Temp High/Low,Reassemble,13/09/2024 10:55,3
JUNIPER,JUNIPER-PCBA,750-055087,EBBG9659,RE_FCT2,Fail compact flash diagnostic test,U6516,07/08/2024 6:20,07/08/2024 9:51,E803,Programmable part content error,Reprogram,05/09/2024 15:54,1
JUNIPER,JUNIPER-PCBA,750-033307,EBBJ6227,PICTEST,Failed Voltage margin hash is empty,U515,19/09/2024 15:02,19/09/2024 16:25,E206,Defect Component,ActionCode SN FJZ,20/09/2024 9:59,1
JUNIPER,JUNIPER-PCBA,750-033307,EBBG7522,PICTEST,Failed to get JIT status,U1,06/09/2024 21:03,07/09/2024 13:39,E206,Defect Component,Replace component,07/09/2024 13:40,2
JUNIPER,JUNIPER-PCBA,750-063180,EAAH2062,FPCTEST,Failed to start JIT,J14101,15/08/2024 15:22,22/08/2024 10:47,E205,Damaged Component,ActionCode SN FJZ,16/09/2024 11:24,22
JUNIPER,JUNIPER-PCBA,750-063180,EAAG1221,SI_V2,Function Fail,/,20/04/2024 17:50,04/06/2024 14:52,E888,Check into B69M,Send out to repair,06/09/2024 8:34,1
JUNIPER,JUNIPER-PCBA,750-063180,EAAH1646,SI_V2,Function Fail,C65007,20/04/2024 17:02,04/06/2024 15:25,E205,Damaged Component,ActionCode SN FJZ,14/09/2024 15:19,1
JUNIPER,JUNIPER-PCBA,750-063180,EAAK0610,SI_V2,Function Fail,U3002,07/05/2024 15:01,04/06/2024 15:42,E206,Defect Component,ActionCode SN FJZ,11/09/2024 10:34,2
JUNIPER,JUNIPER-PCBA,750-063180,EAAM3763,SI_V2,Function Fail,C20301,20/04/2024 18:01,04/06/2024 15:45,E205,Damaged Component,ActionCode SN FJZ,16/09/2024 14:03,1
JUNIPER,JUNIPER-PCBA,750-063180,EAAM4216,SI_V2,Function Fail,C1308,20/04/2024 17:17,03/06/2024 15:38,E206,Defect Component,ActionCode SN FJZ,05/09/2024 17:09,1
JUNIPER,JUNIPER-PCBA,750-063180,EAAP9909,SI_V2,Function Fail,U70020,20/04/2024 17:21,03/06/2024 19:08,E804,Programmable part content is destroyed,Reprogram,18/09/2024 14:59,2
JUNIPER,JUNIPER-PCBA,750-063180,EAAR0636,SI_V2,Function Fail,C90082,20/04/2024 17:21,03/06/2024 17:27,E205,Damaged Component,ActionCode SN FJZ,14/09/2024 15:22,1
JUNIPER,JUNIPER-PCBA,750-063180,EAAW2818,SI_V2,Function Fail,R100128,05/08/2024 13:27,17/09/2024 15:29,E206,Defect Component,ActionCode SN FJZ,17/09/2024 15:32,1
JUNIPER,JUNIPER-PCBA,750-063180,EAAW2973,SI_V2,Function Fail,C70129,09/05/2024 10:56,03/06/2024 16:33,E206,Defect Component,ActionCode SN FJZ,18/09/2024 14:08,1
JUNIPER,JUNIPER-PCBA,711-106557,EABB8882,5DX,Insufficient Solder,D36,21/09/2024 1:52,21/09/2024 2:22,E304,Open Solder,Resolder,21/09/2024 2:22,2
JUNIPER,JUNIPER-PCBA,711-070865,EBBH9819,ICT,Insufficient Solder,R301,17/09/2024 4:26,17/09/2024 5:41,E304,Open Solder,Resolder,17/09/2024 5:41,1
JUNIPER,JUNIPER-PCBA,711-070865,EBBH9824,ICT,Insufficient Solder,R4225,17/09/2024 4:27,17/09/2024 5:08,E304,Open Solder,Resolder,17/09/2024 5:39,1
JUNIPER,JUNIPER-PCBA,711-070394,EBBJ0632,5DX,Insufficient Solder,J35301,30/08/2024 13:32,07/09/2024 16:19,E304,Open Solder,Resolder,07/09/2024 16:20,2
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ0911,5DX,Insufficient Solder,D34001,08/09/2024 8:47,09/09/2024 11:03,E302,Insufficient Solder,Resolder,09/09/2024 11:03,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ1011,5DX,Insufficient Solder,D34101,09/09/2024 8:17,09/09/2024 9:54,E302,Insufficient Solder,Resolder,09/09/2024 9:55,2
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ1011,5DX,Insufficient Solder,D34601,06/09/2024 15:50,06/09/2024 17:09,E302,Insufficient Solder,Resolder,06/09/2024 17:09,2
JUNIPER,JUNIPER-PCBA,611-133600,FJ3524AV0479,5DX,Insufficient Solder,D15,14/09/2024 13:41,14/09/2024 14:34,E302,Insufficient Solder,Resolder,14/09/2024 14:34,1
JUNIPER,JUNIPER-PCBA,611-155735,FZ3524AV0008,5DX,Insufficient Solder,J4,12/09/2024 19:15,16/09/2024 10:11,E302,Insufficient Solder,Resolder,17/09/2024 17:38,1
JUNIPER,JUNIPER-PCBA,611-155735,FZ3524AV0009,5DX,Insufficient Solder,J5,12/09/2024 19:14,16/09/2024 10:11,E302,Insufficient Solder,Resolder,17/09/2024 17:34,1
JUNIPER,JUNIPER-PCBA,711-144276,EAAR3875,5DX,MISALIGNMET COMPONENT,U118,13/09/2024 8:22,13/09/2024 13:54,E201,Misalignment Component,Resolder,13/09/2024 13:56,1
JUNIPER,JUNIPER-PCBA,711-070865,EBBJ3894,SMT2,MISALIGNMET COMPONENT,C11029,07/09/2024 10:31,07/09/2024 13:24,E201,Misalignment Component,Resolder,07/09/2024 13:24,1
JUNIPER,JUNIPER-PCBA,711-055619,EBBJ3959,SMT1,MISALIGNMET COMPONENT,C9432,07/09/2024 2:41,07/09/2024 4:26,E201,Misalignment Component,Resolder,07/09/2024 4:27,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ4236,SMT2,MISALIGNMET COMPONENT,U40051,09/09/2024 9:26,09/09/2024 14:37,E211,Wrong polarity,Correct Component Orientation,09/09/2024 14:40,1
JUNIPER,JUNIPER-PCBA,711-148013,EBBJ5018,SMT2,MISALIGNMET COMPONENT,C824,11/09/2024 20:14,14/09/2024 14:12,E201,Misalignment Component,Resolder,14/09/2024 14:12,1
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ5144,SMT1,MISALIGNMET COMPONENT,C80660,10/09/2024 14:01,10/09/2024 14:35,E201,Misalignment Component,Resolder,10/09/2024 14:35,2
JUNIPER,JUNIPER-PCBA,711-098840,EBBJ5194,SMT2,MISALIGNMET COMPONENT,J900,13/09/2024 7:27,18/09/2024 9:26,E201,Misalignment Component,Correct Misalignment/Tilted Component,18/09/2024 14:18,2
JUNIPER,JUNIPER-PCBA,711-045719,EBBJ5528,SMT1,MISALIGNMET COMPONENT,U33,12/09/2024 10:00,12/09/2024 10:17,E211,Wrong polarity,Resolder,12/09/2024 14:12,1
JUNIPER,JUNIPER-PCBA,711-045719,EBBJ5542,SMT1,MISALIGNMET COMPONENT,C154,12/09/2024 9:58,12/09/2024 10:18,E201,Misalignment Component,Resolder,12/09/2024 14:12,1
JUNIPER,JUNIPER-PCBA,711-148022,EBBJ5750,SMT2,MISALIGNMET COMPONENT,U40611,13/09/2024 2:35,13/09/2024 3:52,E201,Misalignment Component,Resolder,13/09/2024 3:53,1
JUNIPER,JUNIPER-PCBA,711-055085,EBBJ6433,SMT1,MISALIGNMET COMPONENT,C3770,15/09/2024 10:39,16/09/2024 3:20,E201,Misalignment Component,Resolder,16/09/2024 3:21,1
JUNIPER,JUNIPER-PCBA,711-063179,EBBJ6509,SMT2,MISALIGNMET COMPONENT,U20027,16/09/2024 9:32,16/09/2024 10:17,E211,Wrong polarity,Correct Misalignment/Tilted Component,16/09/2024 11:17,1
JUNIPER,JUNIPER-PCBA,711-055619,EBBJ6971,SMT1,MISALIGNMET COMPONENT,C5004,16/09/2024 13:08,16/09/2024 13:28,E201,Misalignment Component,Resolder,16/09/2024 13:51,1
JUNIPER,JUNIPER-PCBA,711-055619,EBBJ6994,SMT2,MISALIGNMET COMPONENT,C8479,16/09/2024 15:47,16/09/2024 16:43,E201,Misalignment Component,Correct Misalignment/Tilted Component,16/09/2024 16:58,1
JUNIPER,JUNIPER-PCBA,711-055619,EBBJ7003,SMT1,MISALIGNMET COMPONENT,C7404,16/09/2024 10:51,16/09/2024 13:15,E201,Misalignment Component,Correct Misalignment/Tilted Component,16/09/2024 13:52,1
JUNIPER,JUNIPER-PCBA,711-055619,EBBJ7005,SMT1,MISALIGNMET COMPONENT,C6204,16/09/2024 10:47,16/09/2024 13:16,E201,Misalignment Component,Correct Misalignment/Tilted Component,16/09/2024 13:53,1
JUNIPER,JUNIPER-PCBA,711-070394,EBBJ7482,SMT2,MISALIGNMET COMPONENT,C34550,18/09/2024 2:45,18/09/2024 5:09,E201,Misalignment Component,Resolder,18/09/2024 5:12,1
JUNIPER,JUNIPER-PCBA,711-070394,EBBJ7485,SMT2,MISALIGNMET COMPONENT,U41505,18/09/2024 4:07,18/09/2024 5:09,E201,Misalignment Component,Resolder,18/09/2024 5:12,1
JUNIPER,JUNIPER-PCBA,711-070394,EBBJ7517,SMT2,MISALIGNMET COMPONENT,U40015,18/09/2024 4:01,18/09/2024 5:09,E201,Misalignment Component,Resolder,18/09/2024 5:13,1
JUNIPER,JUNIPER-PCBA,711-070394,EBBJ7524,SMT2,MISALIGNMET COMPONENT,U40050,18/09/2024 3:30,18/09/2024 5:10,E201,Misalignment Component,Resolder,18/09/2024 5:11,1
JUNIPER,JUNIPER-PCBA,711-166103,EBBJ7898,SMT2,MISALIGNMET COMPONENT,U5006,19/09/2024 2:56,19/09/2024 4:23,E201,Misalignment Component,Resolder,19/09/2024 4:26,1
JUNIPER,JUNIPER-PCBA,711-072924,EBBJ8276,SMT2,MISALIGNMET COMPONENT,J3514,20/09/2024 21:51,20/09/2024 22:40,E201,Misalignment Component,Resolder,20/09/2024 22:41,1
JUNIPER,JUNIPER-PCBA,711-072924,EBBJ8363,SMT2,MISALIGNMET COMPONENT,U2503,20/09/2024 21:55,20/09/2024 22:40,E201,Misalignment Component,Resolder,20/09/2024 22:40,1
JUNIPER,JUNIPER-PCBA,711-073308,EBBJ8509,SMT2,MISALIGNMET COMPONENT,C16728,21/09/2024 13:09,21/09/2024 13:25,E201,Misalignment Component,Correct Misalignment/Tilted Component,21/09/2024 15:46,1
